item	LLM	COT	construct	stem	A	B	C	D
31	gpt-4o	1.0	Agreeableness	You are working on a team project at work, and the project is significantly delayed due to a colleague's mistake. How do you address this issue with your colleague?	You firmly tell your colleague that their mistake is unacceptable and demand they fix it immediately.	You avoid addressing the issue directly but work around it to compensate for the delay.	You mention the delay to your colleague and ask if they need any help to resolve the issue.	You calmly discuss the issue with your colleague, expressing understanding and suggesting ways to get back on track.
32	gpt-4o	0.0	Emotionality	You are at work and have just been informed that the project deadline has been moved up by two weeks. How do you respond?	Barely react to the change and continue working as if nothing significant has happened.	Remain calm and independently adjust your schedule without seeking any help.	Feel a bit stressed but quickly organize your tasks and create a revised plan to meet the new timeline.	Immediately feel anxious and start seeking advice and support from colleagues to manage the new deadline.
33	aws-claude-3-5-sonnet-20240620	1.0	Extraversion	You've recently moved to a new city for work. On a Saturday afternoon, you're taking a walk in your neighborhood when you notice a small gathering in a nearby park. It appears to be a community event with music, food, and various activities. You don't know anyone there, but you can see people of all ages mingling and enjoying themselves. What would you most likely do?	Avoid the gathering entirely, choosing an alternative route for your walk to bypass the event.	Walk by the event, maybe pausing briefly to listen to the music, but continue on your way without joining.	Approach the event cautiously, observe for a while, and then join in some activities that interest you.	Immediately join the gathering, introduce yourself to people, and participate in activities enthusiastically.
34	gpt-4o	0.0	Agreeableness	You are working on a team project at work, and the project is significantly delayed due to a colleague's mistake. How do you address this issue with your colleague?	You firmly tell your colleague that their mistake is unacceptable and demand they fix it immediately.	You avoid addressing the issue directly but work around it to compensate for the delay.	You mention the delay to your colleague and ask if they need any help to resolve the issue.	You calmly discuss the issue with your colleague, expressing understanding and suggesting ways to get back on track.
35	gpt-4o	1.0	Conscientiousness	You are assigned to lead a team to complete a project with a tight deadline. How do you approach this task?	Procrastinate on planning and delegate tasks haphazardly without clear deadlines.	Delegate tasks but do not follow up regularly, assuming team members will manage their parts.	Make a basic plan, assign tasks, and check in periodically.	Create a detailed project plan, delegate tasks clearly, and monitor progress daily.
36	gpt-4-1106-preview	1.0	Agreeableness	You are a customer service representative, and a customer calls, frustrated and rude, complaining about a product defect.	Hang up the phone, feeling overwhelmed and frustrated by the rude customer.	Tell the customer that they should have read the return policy before purchasing and that nothing can be done.	Calmly explain the return policy and ask the customer to send the product back for inspection.	Apologize profusely, offer an immediate replacement or refund, and ask how else you can make the situation right.
37	gpt-4-1106-preview	0.0	Honesty-Humility	During a team meeting, an employee named Sam discusses a new strategy which was actually proposed by their colleague Alex. The manager, who is unaware of the true source, expresses admiration. How should Sam respond?	Take full credit, suggesting they alone developed the idea.	Mention that it was a teamwork effort, not highlighting Alex's key role.	Give due credit to Alex but also highlight their own role in refining the idea.	Immediately correct the manager by crediting Alex as the originator of the idea.
38	真人		Conscientiousness	You arrive at the office in the morning and it turns out to be a big mess. What would you do?	 I would not be bothered by it. 	 I would make some space where I can work. 	I would organize the things I need that day. 	 Before I start working, I would tidy up the place.
39	真人		Emotionality	You have applied for a desirable job and you will hear soon whether they will make you an offer. What would you do?	 I would calmly wait until I hear something. 	 I would be a bit nervous, but focus on other things. 	I would be nervous and have difficulty concentrating on other things. 	 I would be terribly nervous and unable to think of anything else. 
40	gpt-3.5-turbo-0125	0.0	Emotionality	A project deadline is fast approaching, and the team is significantly behind schedule. As a team member, how would you handle this situation?	Calmly assess the situation and propose a detailed action plan to catch up.	Stay focused on your tasks and work independently to make progress without expressing concern.	Express concern about the deadline and ask for guidance on how to proceed.	Seek emotional support from colleagues and express your anxiety about the deadline.
41	gpt-3.5-turbo-0125	0.0	Extraversion	You are participating in a workplace team-building activity where you need to work collaboratively with your colleagues to complete a task. What would you do?	Work independently on your assigned task without much interaction with others	Observe how the group is progressing and offer help when needed	Avoid being directly involved in the group activity and focus on finishing the task individually	Take charge of the group, delegate tasks, and facilitate communication
42	真人		Conscientiousness	You are instructed to give a presentation to three board members. You have sufficient time to prepare the presentation. What would you do?	 I would start preparing the presentation an hour in advance, because I perform best under pressure. 	 I would prepare the presentation a few days in advance and then check and practice the presentation at the last minute. 	I would finish the presentation way in advance and carefully check the presentation. I would practice the presentation at the last minute. 	 I would finish the presentation way in advance. I would carefully check the presentation a few times myself and then have a colleague look at it as well.
43	gpt-4-1106-preview	0.0	Conscientiousness	A software developer is faced with a complex project that must be completed within a tight deadline.	Ignores the deadline, works as per their mood, and believes that cramming at the last minute will be sufficient.	Starts working on the project without a plan, hoping their usual pace will be enough to meet the deadline.	Makes a basic plan and starts working on the project, occasionally checking if they are on schedule.	Breaks down the project into smaller tasks and sets a detailed schedule to follow each day, regularly reviews progress to stay on track.
44	gpt-4-1106-preview	1.0	Honesty-Humility	You are playing a card game with your family and you accidentally see your opponent’s cards which would give you an unfair advantage in winning the game. What would you do?	Uses the information discreetly to ensure a win in the game.	Uses the information but only to avoid losing, not necessarily to win.	Keeps silent but decides not to use the information for personal advantage, playing as normal.	Announces you saw the cards and suggests reshuffling and redistributing the cards to maintain fairness.
45	gpt-4o	1.0	Extraversion	You are at a neighborhood block party with various activities and opportunities to socialize. How do you spend your time?	I find a quiet spot and spend most of the time alone, avoiding the crowd.	I stay on the sidelines, observing the activities and occasionally chatting with close friends.	I join a few activities and talk to people I know, but don't go out of my way to meet new people.	I actively participate in all activities, engaging with as many people as possible.
46	aws-claude-3-5-sonnet-20240620	0.0	Openness to Experience	While grocery shopping, you notice an exotic fruit you've never seen before as part of a 'Try Something New' promotion. The fruit has a spiky exterior and a strong, unfamiliar scent. Free samples are available. What would you most likely do?	Avoid the fruit entirely and stick to your usual shopping list	Briefly look at the fruit but decide not to try it	Take a free sample to taste and consider buying if you like it	Enthusiastically try the sample, buy the fruit, and look up recipes to use it in
47	真人		Openness to Experience	During the annual outing you are—among other things—visiting an art gallery in the city. What would you do?	 I would be very bored and would hope to leave as soon as possible. 	 I would not enjoy it very much, but some art pieces I would appreciate. 	I would enjoy it and would see as many art pieces as possible. 	 I would enjoy it very much and would hope there is enough time to see every detail of every art piece. 
48	真人		Honesty-Humility	Based on the year-end figures, you will be placed into one of the following categories depending on your performance:1) you will receive a bonus, 2) nothing changes, or 3) your department will be curtailed. Based on the figures, it is likely that you will just fall into the 3rd category. You know that other departments usually change their figures so that they will fall into the 1st category. What would you do?	 I would change the figures so that I would easily fall into the 1st category. 	 I would change the figures so that I just fall into the 1st category. 	I would change the figures slightly so that I would just fall into the 2nd category. 	 I would leave the figures as they are. 
49	真人		Honesty-Humility	You accidentally scratched the car that you borrowed from the company for one day. You are aware of the rule that the one responsible for the damage has to pay for the repair costs. What would you do?	 I would tell my supervisor that the car was already damaged when I borrowed it; he would not be able to find out who caused the damage and the organizations is rich enough to cover the repair costs. 	I would not tell my supervisor and hope that he does not notice the damage. If he notices the damage I would act surprised and pretend that I know nothing about it. 	 I would not tell my supervisor and hope that he does not notice the damage. If he does notice the damage, I would admit that I am the one who is responsible. 	 I would go to my supervisor, be honest, and tell him that I am the one who is responsible for the damage. 
50	gpt-4o	1.0	Emotionality	You are part of a team working on a high-stakes project with a tight deadline. During a crucial meeting, a significant issue is discovered that could delay the project. How do you react?	You remain completely unfazed by the problem. You quickly assess the situation and independently devise a solution, not needing any support from others.	You acknowledge the problem but remain calm and composed. You propose a logical plan to address the issue without seeking much support.	You feel worried but try to stay calm. You suggest discussing the issue and finding a solution as a team, though you still feel the need for some emotional support.	You immediately start to feel anxious and overwhelmed, seeking reassurance and support from your teammates. You express your fears about the potential delay.
51	aws-claude-3-5-sonnet-20240620	1.0	Honesty-Humility	You are a regular user of an anonymous online forum where people share personal experiences. You've had a mildly interesting experience that relates to a current trending topic. How would you most likely share this on the forum?	Embellish the story significantly to make it more exciting and gain more attention	Share the story mostly accurately but exaggerate a few details to make it more engaging	Share the story accurately, focusing on the most relevant parts to the trending topic	Share the story exactly as it happened, including all details even if some are mundane
52	gpt-4o	0.0	Honesty-Humility	While walking in the park, you find a smartphone on a bench. The phone is unlocked, and you can see the owner's contact information. What would you do?	Keep the phone for yourself.	Leave the phone on the bench, hoping the owner will come back for it.	Take the phone to the nearest lost-and-found or police station.	Immediately contact the owner and arrange to return the phone.
53	gpt-4o	0.0	Agreeableness	You are working on a team project at work with a tight deadline. Team members have conflicting ideas on the approach to be taken, and tensions are rising. How do you handle the situation?	Firmly insist on your own approach, as you believe it is the most efficient way to meet the deadline.	Agree with the loudest or most dominant team member to avoid conflict and speed up the decision-making process.	Suggest taking a short break to cool down and then return to discuss the best approach calmly and rationally.	Listen to everyone's ideas and try to find a compromise that incorporates key points from each team member.
54	真人		Openness to Experience	During a team outing you can choose between different types of workshops, including “composing a song” and “making a painting”. What would you do?	 I would not participate in these workshops anyway, I do not like such things. 	I would rather participate in a different workshop, one in which I do not have to do anything artistic. .	 I would participate in one of these workshops if one of my colleagues participates as well. Could be fun to try. 	 I would participate in one of these workshops, because I like doing artistic things. 
55	gpt-4o	0.0	Extraversion	You are at a team-building activity at work where employees are participating in various group games and discussions. How do you typically behave in this situation?	I avoid participating in the games and discussions as much as possible and try to find a quiet corner.	I stay on the sidelines, participating only when necessary, and prefer to observe rather than engage.	I participate in some games and discussions but prefer to listen more than speak.	I actively participate in all the games, engage in discussions, and enjoy interacting with my colleagues.
56	gpt-4-1106-preview	1.0	Conscientiousness	A graphic designer has two weeks to complete a complex project that typically requires a month. What approach does the designer take?	Procrastinates, feeling overwhelmed and only makes significant progress a few days before the deadline.	Starts working on the project but without a clear plan, hoping it will come together as time goes.	Breaks the project into manageable sections, setting weekly targets and adjusting as necessary.	Creates a detailed project plan with daily goals to stay on track, checking progress meticulously.
57	aws-claude-3-5-sonnet-20240620	0.0	Extraversion	You're in a new photography class with about 20 strangers. The instructor asks everyone to introduce themselves and share their interest in photography. How do you respond?	Hesitate to speak up and hope the instructor doesn't call on you directly.	Wait until most others have spoken before briefly stating your name and main reason for joining the class.	When your turn comes, give a concise introduction and mention one aspect of photography you're excited to learn.	Enthusiastically volunteer to go first, introducing yourself with a joke and sharing several reasons why you love photography.
58	gpt-3.5-turbo-0125	1.0	Openness to Experience	Your group of friends is deciding on an activity for the weekend. You can either visit a newly opened art exhibit that showcases unconventional and innovative pieces or go to your usual hangout spot where you know what to expect. What do you suggest?	Strongly advocate for the usual hangout spot, expressing disinterest in the art exhibit.	Suggest sticking to the usual hangout spot because it is comfortable and familiar.	Propose visiting the art exhibit but mention that you are also fine with the usual hangout if others prefer.	Suggest visiting the new art exhibit because it sounds exciting and different.
59	gpt-3.5-turbo-0125	0.0	Conscientiousness	You have been assigned a project with a tight deadline. How would you approach completing the project?	Delay starting the project until the last minute and then work intensively to complete it.	Start working on the project immediately without a structured plan.	Ignore the project until the deadline approaches and hope to complete it in a hurry.	Create a detailed project plan with clear milestones and work methodically towards meeting each deadline.
60	aws-claude-3-5-sonnet-20240620	1.0	Conscientiousness	You are Alex, responsible for organizing a community park clean-up event next month. Given your full-time job and lack of experience in event planning, how would you approach this task?	Wait until the week before the event to start planning, figuring you can pull it together quickly if needed.	Create a basic to-do list and work on tasks as you remember them, fitting them in around your other commitments.	Make a general plan and start working on some tasks, adjusting your approach as you go along.	Develop a detailed project plan with timelines, delegate tasks to volunteers, and set regular check-ins to monitor progress.
61	gpt-4-1106-preview	1.0	Agreeableness	During the team meeting when the disagreement arises, how do you react?	Dismiss opposing views as inefficient, insist on following your proposed plan without discussion, and show irritation towards any further debate.	Argue for your viewpoint, showing some flexibility but primarily pushing for your idea and expressing frustration if others do not agree.	Listen to all opinions, propose a vote for the most popular direction, and offer to help execute the majority's decision, even if it's not your preference.	Calmly acknowledge everyone's views, suggest a collective brainstorming session to find a compromise, and offer to mediate the discussion, ensuring all voices are heard.
62	gpt-4o	0.0	Agreeableness	During an online gaming session, one of your teammates keeps making mistakes that are costing your team the game. How do you respond?	You express frustration and decide to leave the game early.	You criticize your teammate for their repeated errors.	You suggest taking a short break to regroup and discuss strategies.	You calmly explain the mistakes to your teammate and offer tips to improve.
63	gpt-4o	1.0	Emotionality	During a family gathering, a close relative announces that they have been diagnosed with a serious illness. How do you react?	You remain stoic and unemotional, focusing on staying strong and not showing any signs of distress.	You acknowledge the news and feel sad but maintain a composed demeanor, reassuring others without seeking support.	You feel concerned but try to stay calm and offer practical support without showing much emotion.	You immediately feel anxious and overwhelmed, and seek comfort from other family members.
64	真人		Extraversion	You just had two weeks of holiday and it is time to get back to work. How would you feel?	 I would dread having to answer questions about my holiday again and again and therefore I would try to avoid my colleagues on the first day. 	 Although I would look forward to seeing my colleagues again, I notice that all the attention costs me energy. 	I would enjoy seeing everyone again and to share my holiday experiences with my colleagues. 	 I would be full of energy and stories and share them with all my colleagues. 
65	aws-claude-3-5-sonnet-20240620	1.0	Conscientiousness	You are leading a six-month software development project. It's currently two months in, and you've noticed some team members are falling behind schedule. How would you handle this situation?	Wait and see if they catch up on their own, as it's still early in the project.	Casually mention the delays in the next team meeting and hope they take the hint.	Reassign some of their tasks to other team members to ensure the project stays on track.	Schedule individual meetings with those falling behind to discuss their challenges and create catch-up plans.
66	gpt-4o	1.0	Openness to Experience	You are part of a marketing team tasked with developing a new strategy for a product launch. The team is brainstorming various ideas. How do you contribute?	Remain silent and go along with whatever the team decides, showing no particular interest.	Recommend sticking to the tried-and-true methods that have worked in the past.	Propose a creative idea that combines elements of successful past strategies with some new twists.	Suggest a completely new and unconventional approach that no one has tried before.
67	真人		Emotionality	Tomorrow you will have your performance review, and there is a lot at stake. It is late in the evening and you are feeling tired. What would you do?	 I would go to bed and fall asleep right away even though I am a bit anxious. 	 I would go to bed but would have trouble falling asleep, once I fall asleep I manage to have a good night’s rest. 	I would go to bed but lie awake for hours and sleep poorly. 	 I would go to bed but lie awake all night worrying about the next day. 
68	真人		Extraversion	During a meeting, the chair asks people to share some workplace experiences. What would you do?	 I would be hoping for my colleagues to say something so that I do not have to. 	 I would only say something if I am asked personally to share my experiences. 	 After one of my colleagues has said something, I would say something too. 	 I would be the first to start talking and elaborate on my experiences. 
69	aws-claude-3-5-sonnet-20240620	1.0	Openness to Experience	Your local community center has announced a series of free evening classes in various subjects, including both traditional and unconventional topics. How would you most likely respond to this opportunity?	Ignore the announcement as you're not interested in taking any classes.	Sign up for one familiar class that aligns with your existing interests.	Register for a mix of familiar and new subjects that pique your curiosity.	Enthusiastically sign up for multiple classes, especially the most unique and unconventional ones.
70	aws-claude-3-5-sonnet-20240620	1.0	Honesty-Humility	You find a wallet containing $500 and the owner's identification on a busy street. There are no cameras or witnesses. You're facing financial difficulties. What would you most likely do?	Keep the wallet and its contents for yourself	Return the wallet but keep some of the cash for yourself	Return the wallet and contents, but hint at expecting a reward	Return the wallet and all contents without expecting anything in return
71	gpt-3.5-turbo-0125	0.0	Agreeableness	You are working in a retail store, and a customer approaches you, visibly upset and angry about a product they purchased. The customer is demanding a refund, claiming the product is defective. How do you handle the situation?	Tell the customer that it is not your responsibility and direct them to a different department, showing visible frustration.	Suggest the customer contacts the manufacturer directly, as the defect might be a manufacturing issue, and refuse to process the refund without further investigation.	Explain the store's refund policy firmly, and ask the customer to provide proof of purchase before proceeding with any action.	Listen calmly to the customer's complaint, apologize for the inconvenience, and offer to replace the product or provide a refund immediately.
72	aws-claude-3-5-sonnet-20240620	0.0	Extraversion	You've been invited to a friend's birthday party at a local bar. There will be about 30 guests, including people you know and don't know. The party starts at 8 PM and will include music, dancing, and group activities. How do you approach this situation?	Send a gift but politely decline the invitation, preferring to celebrate with your friend one-on-one another time	Arrive a bit late, stay for a couple of hours, and mainly interact with people you already know	Arrive on time and participate in most activities, chatting with people you know and a few new acquaintances	Arrive early to help set up and stay until the end, actively participating in all activities and introducing yourself to new people
73	gpt-4-1106-preview	0.0	Emotionality	At a family gathering, a controversial topic is brought up that leads to heated discussions. How do you react?	You remain mostly unaffected and engage calmly in the discussion, providing logical arguments.	You feel somewhat uncomfortable but try to listen and occasionally provide your thoughts.	You become highly anxious and try to avoid the conversation, visibly upset.	You take control of the discussion, guiding the conversation to less controversial topics without showing any stress.
74	gpt-4-1106-preview	0.0	Emotionality	You are giving a crucial presentation at work when suddenly the projector fails and your visuals disappear. The room full of colleagues and supervisors are waiting for your response. How do you handle this situation?	Remain completely calm, improvise with a verbal presentation and engage the audience with direct questions until the issue is resolved.	Maintain your composure, use the whiteboard to illustrate your points while the issue is being resolved.	Feel nervous but ask for a few minutes to try and fix the issue or find an alternative.	Panic and start to apologize profusely, feeling overwhelmed and anxious.
